[16 Dec 2025 19:09:39,602 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 19:09:39,701 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 19:09:39,704 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2597 ms
[16 Dec 2025 19:09:41,253 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 19:11:49,258 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 19:11:49,292 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 19:11:49,292 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 19:11:49,383 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 19:11:49,386 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2433 ms
[16 Dec 2025 19:11:51,055 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 19:28:34,416 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 19:28:34,464 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 19:28:34,464 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 19:28:34,613 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 19:28:34,615 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3418 ms
[16 Dec 2025 19:28:36,498 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 19:29:42,445 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 19:29:42,507 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 19:29:42,509 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 19:29:42,669 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 19:29:42,672 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2385 ms
[16 Dec 2025 19:29:44,538 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 20:02:01,254 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 20:02:01,288 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 20:02:01,289 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 20:02:01,412 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 20:02:01,415 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3054 ms
